date,Open,High,Low,Close,Volume
2020-03-17 07:23:00,64.97,65.14,64.9,65.1,13993.0
2020-03-17 07:22:00,65.08,65.18,64.82,64.95,6786.0
2020-03-17 07:21:00,65.0,65.14,64.91,65.03,11302.0
2020-03-17 07:20:00,65.16,65.17,65.0,65.04,4048.0
2020-03-17 07:19:00,65.07,65.12,64.99,65.06,5856.0
2020-03-17 07:18:00,65.0,65.11,64.92,65.07,1866.0
2020-03-17 07:17:00,65.05,65.19,64.91,65.19,5644.0
2020-03-17 07:16:00,65.29,65.3,64.91,65.06,4054.0
2020-03-17 07:15:00,65.57,65.63,65.29,65.29,2161.0
2020-03-17 07:14:00,65.34,65.56,65.29,65.56,532.0
2020-03-17 07:13:00,65.38,65.39,65.15,65.25,4455.0
2020-03-17 07:12:00,65.22,65.46,65.22,65.42,1419.0
2020-03-17 07:11:00,65.51,65.52,64.9,65.22,5446.0
2020-03-17 07:10:00,65.45,65.55,65.42,65.5,5999.0
2020-03-17 07:09:00,65.2,65.41,65.2,65.41,1487.0
2020-03-17 07:08:00,65.4,65.41,65.12,65.12,1641.0
2020-03-17 07:07:00,65.23,65.58,65.15,65.38,4777.0
2020-03-17 07:06:00,65.49,65.59,65.23,65.23,3458.0
2020-03-17 07:05:00,65.26,65.63,65.15,65.49,7508.0
2020-03-17 07:04:00,65.39,65.44,65.17,65.17,1949.0
2020-03-17 07:03:00,65.29,65.36,65.16,65.33,3723.0
2020-03-17 07:02:00,65.6,65.62,65.34,65.35,2703.0
2020-03-17 07:01:00,65.7,65.74,65.57,65.57,1938.0
2020-03-17 07:00:00,65.79,65.87,65.42,65.63,5312.0
2020-03-17 06:59:00,66.07,66.08,65.78,65.84,4012.0
2020-03-17 06:58:00,65.58,66.0,65.58,66.0,968.0
2020-03-17 06:57:00,65.7,65.75,65.52,65.62,4733.0
2020-03-17 06:56:00,65.65,65.78,65.51,65.78,3411.0
2020-03-17 06:55:00,65.84,65.84,65.54,65.59,3094.0
2020-03-17 06:54:00,65.33,65.8,65.33,65.77,2667.0
2020-03-17 06:53:00,65.36,65.48,65.24,65.36,2158.0
2020-03-17 06:52:00,65.28,65.39,65.04,65.3,2918.0
2020-03-17 06:51:00,65.35,65.42,65.33,65.33,1944.0
2020-03-17 06:50:00,65.62,65.62,65.28,65.34,3927.0
2020-03-17 06:49:00,65.81,65.86,65.62,65.66,1337.0
2020-03-17 06:48:00,65.75,65.75,65.64,65.74,4108.0
2020-03-17 06:47:00,65.25,65.63,65.25,65.58,3367.0
2020-03-17 06:46:00,65.43,65.43,65.11,65.13,3597.0
2020-03-17 06:45:00,65.22,65.64,65.22,65.62,1530.0
2020-03-17 06:44:00,65.68,65.68,65.13,65.23,5236.0
2020-03-17 06:43:00,65.54,65.68,65.5,65.67,1999.0
2020-03-17 06:42:00,65.43,65.62,65.34,65.53,3490.0
2020-03-17 06:41:00,65.76,65.78,65.27,65.5,8517.0
2020-03-17 06:40:00,66.0,66.1,65.69,65.84,7945.0
2020-03-17 06:39:00,66.45,66.54,66.2,66.2,7000.0
2020-03-17 06:38:00,66.68,66.86,66.36,66.46,6556.0
2020-03-17 06:37:00,66.36,66.65,66.34,66.65,2453.0
2020-03-17 06:36:00,66.26,66.51,66.26,66.4,2448.0
2020-03-17 06:35:00,66.54,66.57,66.17,66.26,3776.0
2020-03-17 06:34:00,66.53,66.63,66.32,66.38,2210.0
