date,Open,High,Low,Close,adj. Close,Volume,dividend amount,split coefficient
2020-01-16,91.49,91.51,91.49,91.51,91.3049,1104052.0,0.0,1.0
2020-01-15,91.49,91.49,91.48,91.49,91.285,862337.0,0.0,1.0
2020-01-14,91.48,91.49,91.48,91.48,91.275,1055407.0,0.0,1.0
2020-01-13,91.48,91.48,91.47,91.48,91.275,1459119.0,0.0,1.0
2020-01-10,91.47,91.48,91.47,91.48,91.275,1137145.0,0.0,1.0
2020-01-09,91.48,91.48,91.47,91.48,91.275,984306.0,0.0,1.0
2020-01-08,91.46,91.47,91.46,91.47,91.265,1286106.0,0.0,1.0
2020-01-07,91.46,91.46,91.45,91.45,91.2451,1267252.0,0.0,1.0
2020-01-06,91.46,91.47,91.45,91.45,91.2451,2471884.0,0.0,1.0
2020-01-03,91.46,91.46,91.45,91.46,91.255,853176.0,0.0,1.0
2020-01-02,91.45,91.46,91.44,91.46,91.255,3167168.0,0.0,1.0
2019-12-31,91.45,91.45,91.43,91.43,91.2251,1406182.0,0.0,1.0
2019-12-30,91.44,91.44,91.43,91.43,91.2251,1381586.0,0.0,1.0
2019-12-27,91.42,91.43,91.42,91.42,91.2151,1325613.0,0.0,1.0
2019-12-26,91.41,91.43,91.41,91.43,91.2251,956173.0,0.0,1.0
2019-12-24,91.42,91.42,91.41,91.42,91.2151,1042650.0,0.0,1.0
2019-12-23,91.4,91.41,91.4,91.41,91.2051,2846524.0,0.0,1.0
2019-12-20,91.41,91.41,91.4,91.41,91.2051,1375764.0,0.115,1.0
2019-12-19,91.51,91.52,91.51,91.52,91.2002,1412949.0,0.0,1.0
2019-12-18,91.51,91.51,91.5,91.51,91.1902,1059947.0,0.0,1.0
2019-12-17,91.5,91.51,91.49,91.49,91.1703,2352993.0,0.0,1.0
2019-12-16,91.49,91.5,91.49,91.5,91.1802,702737.0,0.0,1.0
2019-12-13,91.49,91.5,91.48,91.48,91.1603,753143.0,0.0,1.0
2019-12-12,91.5,91.5,91.49,91.5,91.1802,601844.0,0.0,1.0
2019-12-11,91.48,91.48,91.47,91.48,91.1603,1288124.0,0.0,1.0
2019-12-10,91.48,91.48,91.47,91.48,91.1603,1040687.0,0.0,1.0
2019-12-09,91.47,91.48,91.47,91.48,91.1603,776181.0,0.0,1.0
2019-12-06,91.46,91.47,91.46,91.47,91.1503,1171348.0,0.0,1.0
2019-12-05,91.47,91.47,91.46,91.47,91.1503,866099.0,0.0,1.0
2019-12-04,91.45,91.46,91.45,91.45,91.1304,1007958.0,0.0,1.0
2019-12-03,91.45,91.45,91.44,91.44,91.1204,2004273.0,0.0,1.0
2019-12-02,91.44,91.45,91.44,91.45,91.1304,985980.0,0.1172,1.0
2019-11-29,91.55,91.56,91.55,91.56,91.1232,687546.0,0.0,1.0
2019-11-27,91.55,91.56,91.55,91.56,91.1232,775949.0,0.0,1.0
2019-11-26,91.54,91.55,91.54,91.54,91.1033,952047.0,0.0,1.0
2019-11-25,91.54,91.54,91.53,91.53,91.0934,955100.0,0.0,1.0
2019-11-22,91.53,91.54,91.53,91.53,91.0934,1197875.0,0.0,1.0
2019-11-21,91.52,91.53,91.52,91.52,91.0834,975355.0,0.0,1.0
2019-11-20,91.52,91.52,91.51,91.52,91.0834,2396434.0,0.0,1.0
2019-11-19,91.515,91.52,91.51,91.51,91.0735,928816.0,0.0,1.0
2019-11-18,91.51,91.52,91.51,91.52,91.0834,1611108.0,0.0,1.0
2019-11-15,91.51,91.51,91.5,91.5,91.0635,2225761.0,0.0,1.0
2019-11-14,91.5,91.51,91.5,91.51,91.0735,3100363.0,0.0,1.0
2019-11-13,91.5,91.5,91.49,91.5,91.0635,1170714.0,0.0,1.0
2019-11-12,91.5,91.5,91.49,91.5,91.0635,1818383.0,0.0,1.0
2019-11-11,91.49,91.49,91.48,91.49,91.0536,464643.0,0.0,1.0
2019-11-08,91.49,91.49,91.48,91.49,91.0536,727741.0,0.0,1.0
2019-11-07,91.48,91.49,91.48,91.49,91.0536,1334797.0,0.0,1.0
2019-11-06,91.47,91.48,91.47,91.47,91.0337,1095841.0,0.0,1.0
2019-11-05,91.46,91.47,91.46,91.46,91.0237,1253360.0,0.0,1.0
2019-11-04,91.46,91.47,91.46,91.47,91.0337,2305944.0,0.0,1.0
2019-11-01,91.46,91.47,91.46,91.46,91.0237,5615469.0,0.1387,1.0
2019-10-31,91.59,91.6,91.59,91.6,91.025,1240940.0,0.0,1.0
2019-10-30,91.58,91.59,91.57,91.59,91.0151,1026436.0,0.0,1.0
2019-10-29,91.57,91.58,91.57,91.58,91.0052,487602.0,0.0,1.0
2019-10-28,91.57,91.57,91.56,91.56,90.9853,1936457.0,0.0,1.0
2019-10-25,91.56,91.57,91.56,91.57,90.9952,858780.0,0.0,1.0
2019-10-24,91.56,91.57,91.56,91.57,90.9952,735743.0,0.0,1.0
2019-10-23,91.54,91.55,91.54,91.55,90.9753,707750.0,0.0,1.0
2019-10-22,91.55,91.55,91.54,91.55,90.9753,1822092.0,0.0,1.0
2019-10-21,91.55,91.55,91.54,91.55,90.9753,820776.0,0.0,1.0
2019-10-18,91.53,91.54,91.53,91.54,90.9654,3141636.0,0.0,1.0
2019-10-17,91.53,91.54,91.53,91.54,90.9654,1350955.0,0.0,1.0
2019-10-16,91.52,91.53,91.52,91.53,90.9555,1620534.0,0.0,1.0
2019-10-15,91.51,91.52,91.51,91.52,90.9455,1630503.0,0.0,1.0
2019-10-14,91.51,91.53,91.45,91.51,90.9356,2720505.0,0.0,1.0
2019-10-11,91.52,91.52,91.51,91.52,90.9455,1446113.0,0.0,1.0
2019-10-10,91.52,91.52,91.51,91.51,90.9356,1404541.0,0.0,1.0
2019-10-09,91.5,91.5,91.49,91.49,90.9157,1713977.0,0.0,1.0
2019-10-08,91.49,91.49,91.48,91.49,90.9157,1216160.0,0.0,1.0
2019-10-07,91.49,91.49,91.48,91.49,90.9157,686957.0,0.0,1.0
2019-10-04,91.47,91.48,91.47,91.48,90.9058,924254.0,0.0,1.0
2019-10-03,91.47,91.48,91.47,91.48,90.9058,1101292.0,0.0,1.0
2019-10-02,91.46,91.46,91.45,91.45,90.876,2410097.0,0.0,1.0
2019-10-01,91.46,91.46,91.45,91.45,90.876,2016765.0,0.137,1.0
2019-09-30,91.58,91.59,91.58,91.59,90.8789,3144750.0,0.0,1.0
2019-09-27,91.59,91.59,91.57,91.58,90.869,1033039.0,0.0,1.0
2019-09-26,91.57,91.58,91.57,91.58,90.869,1741087.0,0.0,1.0
2019-09-25,91.56,91.56,91.55,91.56,90.8492,1362695.0,0.0,1.0
2019-09-24,91.56,91.56,91.55,91.56,90.8492,1661750.0,0.0,1.0
2019-09-23,91.54,91.56,91.54,91.56,90.8492,1669943.0,0.0,1.0
2019-09-20,91.54,91.54,91.53,91.54,90.8293,2298560.0,0.0,1.0
2019-09-19,91.55,91.55,91.53,91.53,90.8194,1980570.0,0.0,1.0
2019-09-18,91.52,91.53,91.51,91.53,90.8194,1094527.0,0.0,1.0
2019-09-17,91.51,91.52,91.5,91.51,90.7996,1033921.0,0.0,1.0
2019-09-16,91.51,91.52,91.5,91.5,90.7896,1119287.0,0.0,1.0
2019-09-13,91.51,91.51,91.5,91.5,90.7896,1638255.0,0.0,1.0
2019-09-12,91.5,91.51,91.5,91.5,90.7896,1867384.0,0.0,1.0
2019-09-11,91.48,91.49,91.48,91.48,90.7698,1437351.0,0.0,1.0
2019-09-10,91.49,91.49,91.475,91.49,90.7797,2325231.0,0.0,1.0
2019-09-09,91.47,91.48,91.47,91.47,90.7599,1064376.0,0.0,1.0
2019-09-06,91.47,91.48,91.46,91.47,90.7599,2094686.0,0.0,1.0
2019-09-05,91.47,91.47,91.46,91.46,90.75,4888826.0,0.0,1.0
2019-09-04,91.46,91.46,91.45,91.45,90.74,1895646.0,0.0,1.0
2019-09-03,91.46,91.46,91.45,91.46,90.75,4846777.0,0.1684,1.0
2019-08-30,91.61,91.62,91.61,91.61,90.7317,3418088.0,0.0,1.0
2019-08-29,91.6,91.61,91.6,91.6,90.7218,2276777.0,0.0,1.0
2019-08-28,91.59,91.59,91.58,91.58,90.702,3861848.0,0.0,1.0
2019-08-27,91.59,91.59,91.58,91.59,90.7119,1616940.0,0.0,1.0
2019-08-26,91.59,91.59,91.58,91.58,90.702,2234679.0,0.0,1.0
2019-08-23,91.58,91.58,91.56,91.57,90.6921,10788823.0,0.0,1.0
2019-08-22,91.57,91.58,91.57,91.58,90.702,1162711.0,0.0,1.0
2019-08-21,91.56,91.57,91.55,91.55,90.6723,1433729.0,0.0,1.0
2019-08-20,91.56,91.56,91.55,91.56,90.6822,1675468.0,0.0,1.0
2019-08-19,91.57,91.57,91.55,91.55,90.6723,4950525.0,0.0,1.0
2019-08-16,91.56,91.56,91.55,91.55,90.6723,2471493.0,0.0,1.0
2019-08-15,91.55,91.56,91.54,91.56,90.6822,2998276.0,0.0,1.0
2019-08-14,91.53,91.54,91.52,91.52,90.6426,1988091.0,0.0,1.0
2019-08-13,91.51,91.53,91.51,91.53,90.6525,904681.0,0.0,1.0
2019-08-12,91.51,91.52,91.51,91.52,90.6426,2547299.0,0.0,1.0
2019-08-09,91.5,91.51,91.5,91.5,90.6228,2542210.0,0.0,1.0
2019-08-08,91.51,91.51,91.5,91.51,90.6327,1279002.0,0.0,1.0
2019-08-07,91.48,91.5,91.48,91.5,90.6228,2365093.0,0.0,1.0
2019-08-06,91.48,91.49,91.48,91.48,90.603,4954980.0,0.0,1.0
2019-08-05,91.48,91.49,91.47,91.47,90.5931,2182891.0,0.0,1.0
2019-08-02,91.48,91.48,91.47,91.48,90.603,5480615.0,0.0,1.0
2019-08-01,91.47,91.48,91.46,91.48,90.603,5657356.0,0.1545,1.0
2019-07-31,91.61,91.61,91.6,91.61,90.5788,3291124.0,0.0,1.0
2019-07-30,91.59,91.6,91.59,91.6,90.5689,2294153.0,0.0,1.0
2019-07-29,91.6,91.6,91.59,91.6,90.5689,871334.0,0.0,1.0
2019-07-26,91.59,91.59,91.58,91.58,90.5491,1202754.0,0.0,1.0
2019-07-25,91.57,91.59,91.57,91.59,90.559,1428370.0,0.0,1.0
2019-07-24,91.56,91.57,91.56,91.57,90.5392,793901.0,0.0,1.0
2019-07-23,91.55,91.56,91.55,91.55,90.5194,1703357.0,0.0,1.0
2019-07-22,91.55,91.56,91.55,91.56,90.5293,524414.0,0.0,1.0
2019-07-19,91.55,91.56,91.55,91.56,90.5293,1509228.0,0.0,1.0
2019-07-18,91.54,91.56,91.54,91.56,90.5293,1229460.0,0.0,1.0
2019-07-17,91.53,91.53,91.52,91.53,90.4997,650731.0,0.0,1.0
2019-07-16,91.52,91.53,91.52,91.53,90.4997,731478.0,0.0,1.0
2019-07-15,91.52,91.52,91.51,91.52,90.4898,520964.0,0.0,1.0
2019-07-12,91.52,91.52,91.51,91.52,90.4898,792939.0,0.0,1.0
2019-07-11,91.5,91.51,91.5,91.51,90.4799,1230413.0,0.0,1.0
