date,Open,High,Low,Close,Volume
2020-03-17 16:00:00,66.61,66.8,65.0,65.0,16727.0
2020-03-17 15:59:00,66.83,67.0,66.6,66.6,9797.0
2020-03-17 15:58:00,66.9,67.0,66.81,66.92,6423.0
2020-03-17 15:57:00,66.85,67.0,66.812,66.9,5855.0
2020-03-17 15:56:00,66.84,67.01,66.625,66.65,10866.0
2020-03-17 15:55:00,66.5,67.0,66.496,66.8,9756.0
2020-03-17 15:54:00,66.67,66.9,66.5,66.5,3820.0
2020-03-17 15:53:00,66.91,67.0,66.55,66.9327,9262.0
2020-03-17 15:52:00,66.775,67.0,66.76,66.9,7808.0
2020-03-17 15:51:00,67.0,67.0,66.75,67.0,11580.0
2020-03-17 15:50:00,66.99,67.0,66.8108,66.97,6205.0
2020-03-17 15:49:00,66.7465,67.0,66.73,67.0,1234.0
2020-03-17 15:48:00,66.93,67.0,66.7,67.0,3097.0
2020-03-17 15:47:00,66.7,67.0,66.6,66.8041,4116.0
2020-03-17 15:46:00,66.99,67.0,66.6,66.96,5781.0
2020-03-17 15:45:00,67.0,67.0,66.9,66.9999,2646.0
2020-03-17 15:44:00,66.885,67.0,66.885,67.0,11156.0
2020-03-17 15:43:00,66.8961,67.0,66.8961,67.0,3020.0
2020-03-17 15:42:00,66.75,67.0,66.7,66.99,2407.0
2020-03-17 15:41:00,66.57,67.0,66.55,66.75,2994.0
2020-03-17 15:40:00,66.9,67.0,66.7,66.775,1772.0
2020-03-17 15:39:00,66.75,67.1,66.53,66.68,1655.0
2020-03-17 15:38:00,66.45,66.805,66.35,66.51,2878.0
2020-03-17 15:37:00,66.48,66.76,66.45,66.45,1742.0
2020-03-17 15:36:00,66.74,67.09,66.49,66.49,2781.0
2020-03-17 15:35:00,66.465,66.55,66.01,66.55,2193.0
2020-03-17 15:34:00,66.7,67.25,66.14,66.14,4253.0
2020-03-17 15:33:00,67.6098,67.6098,66.7,67.25,3223.0
2020-03-17 15:32:00,67.2,67.9789,67.1,67.55,2224.0
2020-03-17 15:31:00,67.5008,68.0,67.1,67.55,1789.0
2020-03-17 15:30:00,67.25,68.0,67.06,67.495,1703.0
2020-03-17 15:29:00,67.55,68.1,67.2,67.25,4932.0
2020-03-17 15:28:00,68.5,68.82,67.1,67.55,6760.0
2020-03-17 15:27:00,67.96,68.495,67.6,68.495,5651.0
2020-03-17 15:26:00,67.86,68.0,67.44,67.545,6511.0
2020-03-17 15:25:00,67.62,68.0,67.11,67.238,6351.0
2020-03-17 15:24:00,66.5,67.75,66.1,67.75,6965.0
2020-03-17 15:23:00,66.5,67.0,66.1002,66.11,4987.0
2020-03-17 15:22:00,66.74,66.92,65.69,66.0,2298.0
2020-03-17 15:21:00,65.88,66.73,65.49,66.73,5845.0
2020-03-17 15:20:00,65.31,65.5,65.0,65.4,5019.0
2020-03-17 15:19:00,65.7,65.7,65.26,65.4,7370.0
2020-03-17 15:18:00,65.82,65.91,65.6619,65.6694,1770.0
2020-03-17 15:17:00,66.18,66.18,65.85,65.85,2117.0
2020-03-17 15:16:00,66.11,66.1984,65.98,66.195,1649.0
2020-03-17 15:15:00,66.11,66.3,66.1,66.11,2214.0
2020-03-17 15:14:00,65.84,66.05,65.84,65.85,1694.0
2020-03-17 15:13:00,65.71,65.84,65.71,65.84,630.0
2020-03-17 15:12:00,65.5002,65.98,65.5002,65.71,2301.0
2020-03-17 15:11:00,66.0246,66.6184,65.9421,65.9946,1342.0
2020-03-17 15:10:00,65.66,65.924,65.39,65.74,1739.0
2020-03-17 15:09:00,65.51,65.51,65.255,65.48,567.0
2020-03-17 15:08:00,65.99,65.99,65.17,65.495,1155.0
2020-03-17 15:07:00,65.21,65.92,65.21,65.92,408.0
2020-03-17 15:06:00,65.8,66.11,65.4,65.555,3339.0
2020-03-17 15:05:00,66.0,66.0,65.88,65.88,1198.0
2020-03-17 15:04:00,65.7905,65.99,65.7905,65.99,555.0
2020-03-17 15:03:00,65.77,66.0,65.77,65.77,691.0
2020-03-17 15:02:00,66.7149,67.3149,66.3156,66.3247,3274.0
2020-03-17 15:01:00,66.34,67.81,66.34,66.69,5991.0
2020-03-17 15:00:00,66.69,66.73,65.56,66.37,3073.0
2020-03-17 14:59:00,65.89,66.4746,65.3,65.5154,680.0
2020-03-17 14:58:00,66.5,66.5,65.2532,65.3,1137.0
